"标题","标题链接","brief","keywords","发布时间","新闻类别","采集时的时间"
,"https://sannong.cctv.com/2021/04/19/ARTIO6KIErun5Y3CdiHvP76T210419.shtml","['播放视频眼下是河南洛阳牡丹盛开的季节，随着国际牡丹品种的引入，黄色系牡丹的品种越来越多，我们一起去看看。中国国花园园林科科长 郑涛：国际牡丹品种基本上它的黄色就是偏正黄色，我们通常看到的有美国的海黄，还有法国的金阁、金晃等等。郑涛介绍，黄色系牡丹一共有国内、国外两大品系，国内的传统品种是姚黄和金桂飘香，但颜色较浅，而国际交流品种的引入的黄牡丹则颜色艳丽。中国国花园园林科科长 郑涛：我们都知道牡丹是国色天香，但是具体到不同的牡丹品种，它的香气也是有略微的差别的，像一些比较白色的品种，它的香气会清香淡雅些；像我们现在看到的这个黄色品种，它的香气就会略微浓烈一些，所以我们看牡丹的时候根据牡丹品种的不一样，能闻到的香味也是不同的。中国国花园内的黄色系牡丹总数有1.6万余株，其中皇冠1000株、金阁3000株、海黄约8000株，目前正值盛花期，观赏效果极佳。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读黄色系牡丹 | 皇冠克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：魏利洁 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/19/ARTIYSF1QIJH26YVQZ3kAqZg210419.shtml","['播放视频眼下正是春茶的开茶季，在我国重要的茶叶产地福建武夷山，当地坚持绿色发展，多措并举做好茶文化、茶产业、茶科技这篇大文章，打牢乡村振兴的产业基础。16日，伴随着武夷山这座茶园里一阵阵的喊山声，武夷山今年的春茶开采了。以往，梯田式的茶园边坡杂草丛生，需要花大量人力来清除，还容易造成水土流失。今年，茶园种上了这种名叫麦冬的植物，可以抑制杂草生长、涵养水土。目前，当地的茶厂正在抓紧建设技术研究中心和智能产品中心，项目建成后，茶叶加工包装等全流程可以实现机械化，而且以游廊的体验方式展示给参观者。过去，茶农做茶靠经验，用手摸、靠鼻子闻，如今则是靠科技。通过收集数据总结规律，用科技赋能茶叶生产、制作全流程。在武夷山市电子政务中心，这个智慧茶园平台实现了云管理。武夷山拥有14.8万亩茶山，12万人从事茶产业。武夷岩茶品牌价值超过700亿元。当地正谋划新一批的茶文化产品，打牢乡村振兴的产业基础。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读春茶 | 开采克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：李雪莲 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/19/ARTIhDo2njpIO7EdtEnYq8gl210419.shtml","['播放视频博鳌亚洲论坛永久会址在海南的东屿岛村，20年来这里经历了很多变化。作为东屿岛村的普通村民，卢光就在这些变化中，有了更多的获得感、幸福感。这是前不久，博鳌亚洲论坛2021年年会进入倒计时阶段时，卢光和同事排查防疫物资是否到位的场景。海南省琼海市博鳌镇东屿岛村村民 卢光：我们在这里后勤服务的话，看到全世界各国的很多贵宾政要，而且我们还会近距离地接触，为他们服务。过去也没有想到一个村民为各国政要提供服务，想都不敢想。过去，东屿岛村交通不便，信息闭塞，绝大多数村民世代以打渔种稻为生。2001年，博鳌亚洲论坛永久会址选在东屿岛村，在这里建设了配套会议中心等基础设施。政府帮他们在博鳌镇建起了东屿新村，卢光和全村900多乡亲一起搬进新家园。卢光踏实肯干，他很快从基层员工做到中层管理。东屿岛陆续通了高速，附近建起机场，迎来很多外国政要、嘉宾和一拨又一拨游客。日新月异的变化也吸引越来越多外出打工的东屿岛村人回到家乡，卢光的发小苏才优就是其中之一。苏才优从广东回到东屿岛村，当选了村干部，他想办法壮大集体经济，去年，村集体就增收45万元。如今，八成在外打工的东屿岛村村民选择返乡创业就业。2020年，东屿岛村村民人均收入超过2万元。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读博鳌亚洲论坛克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：肖斐 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/19/ARTIBxcy3xgol9aCc2ceWAfU210419.shtml","['播放视频4月18日到21日，博鳌亚洲论坛2021年年会在海南博鳌举行。大约有2000名嘉宾通过线上线下的方式参加这次年会。今年是博鳌论坛20周年，设置有解读中国、把握世界变局和亚洲的发展大势、“一带一路”合作、拥抱产业变革等六大板块。60多场活动将在博鳌亚洲论坛的主会场展开，维护粮食安全、减贫与乡村可持续发展等热门的话题都将被涉及。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读博鳌亚洲论坛克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：肖斐 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/19/ARTIIH2K1KNrDOZHDTsJEBfC210419.shtml","['播放视频近日，齐齐哈尔市龙沙动植物园的金丝猴又顺利产下一只小金丝猴，这是高纬度金丝猴家族在园内成功繁育的第四只宝宝。园区内，金丝猴妈妈带着刚刚出生几天的宝宝晒太阳，上窜下跳做游戏。野生金丝猴生活在热带、亚热带、高海拔山林，在寒冷的高纬度地区成功连续繁育为科学研究提供了样板。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读齐齐哈尔 | 高纬度金丝猴克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：杨宁 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/19/ARTILFpK8WcE0iJOfHsVJL8f210419.shtml","['播放视频四月花开，美不胜收。这些盛开的鲜花不仅让人赏心悦目，各地发展起来的“花经济”也为群众增收开辟了新的路子。咱们接下来就到新疆和浙江等地去看一看。这段时间正是新疆伊犁河谷杏花盛开的时节。每年春天，全国各地的游客都会赶到这里，欣赏成片开放的杏花，这也催生了这里的“杏花经济”。当地相关部门鼓励农牧民成立旅游合作社、民宿合作社，打造集文化、民俗、经贸等为一体的文旅产业，引导大家致富增收。努尔古丽两年前把自家的几间房子装饰一新，办起了哈萨克族风情的民宿旅游点。新疆新源县花季民宿专业合作社社员 努尔古丽?阿扎提：天气情况好的话，我们到月底就是能挣到3万元钱。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读新疆 | 伊犁河谷克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：肖斐 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTIwNOiHak2iWU8VJBhoA1Y210416.shtml","['播放视频脱贫摘帽不是终点，而是新生活、新奋斗的起点。脱贫攻坚取得胜利后，要全面推进乡村振兴，这是“三农”工作重心的历史性转移，展现了一个大国的历史担当，彰显了一个大党的初心使命。发展产业是推进乡村振兴的基础。重庆市南川区是我国南方重要的中药材主产区，当地通过引导农户种植中药材，巩固脱贫成果，增加农户收入。为了把中草药这个产业发展好，南川区构建“种加销、产学研、医药养”全产业链。目前，全区种植中药材36万亩，中医药产业已经带动10万人就业，为乡村振兴注入源源不断的动力。推进乡村振兴，人才振兴是关键一环。江西省泰和县通过实施“乡土人才”工程，夯实乡村振兴的人才基础。正在给乡亲们讲授春季葡萄生产技术要点的是江西省泰和县绵溪村的乡土技术人才郭声元。郭声元是绵溪村土生土长的产业带头人，也是泰和县首批“乡土人才”。在脱贫攻坚过程中，泰和县按照“依托身边产业、遴选身边能人、传授身边技术、带富身边群众”的思路，主要以村里的致富带头人、专业合作社负责人为培养对象，聘请高校老师以及农技部门的专家来给他们进行培训，打造一支不走的农村实用技术人才队伍。在全国，为了推进脱贫攻坚与乡村振兴有效衔接，国家设立5年过渡期。在西部地区脱贫县中确立一批国家乡村振兴重点县予以重点支持，各地可结合实际确定省级乡村振兴重点县，加大支持力度。国家继续向重点乡村选派驻村第一书记和工作队，培育和支持脱贫地区产业稳定可持续发展，保持主要帮扶政策总体稳定。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读脱贫攻坚 | 三农克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：李雪莲 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTIR0efE9FZH1Saqte6haAn210416.shtml","['播放视频近日在新疆巴州和静县，一只翅膀受伤的国家一级重点保护动物金雕被当地牧民救助。当天中午，牧民苏伯尔乌鲁在山区放牧时发现了一只受伤的金雕，于是将它带到安全地带喂食、喂水。接到牧民报告后，和静县野生动物保护站工作人员立即赶到现场。经辨认查看，确认获救的大鸟是国家一级保护动物——金雕。这只金雕除了翅膀有断裂部分以外，其它部位并没有明显外伤。随后，工作人员将金雕带到和静县北山公园野生动物救护中心进行检查救治，待金雕完全康复后，再放飞自然。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读金雕 | 保护动物克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：李雪莲 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTI9yD1qjso9fe3XCSqRlL0210416.shtml","['播放视频酒楼生意经营的风生水起，他却要关掉酒楼去养鱼。一片荒摊、一渠清水，他却看出新商机。自从养上了鱼，他的生活就像坐上了过山车，两次尝试就赔光所有家产。他顶住压力，坚持把养鱼进行到底。苦心人，天不负，他养的鱼成了当地的抢手货。两三斤的小鲟鱼不愁销，上百斤的大鲟鱼更值钱，看浙江衢州的吴华军如何在鲟鱼养殖上接连发招，探索出新路子，同时还带动地方一个产业的发展。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读吴华军 | 鲟鱼养殖克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：魏利洁 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTI02be6QcGgYR5nPHtaH6Y210416.shtml","['播放视频这两天我们一直都在关注辽宁阜新的新农人梁洪涛帮衬村民致富的故事。除了通过红薯标准化种植提高经济效益，梁洪涛还运用电商平台拼出了全新农产品销售的模式。接下来，我们就跟着他去农户交流会看一看。新型职业农民经理人 梁洪涛：我们知道我们有土地，然后我们去负责种苗、负责管理，我们去帮大伙销售。我们都知道农民最难的是卖对吧？标准化种植的一个流程基本上能保证我们彰武地区在适合种红薯这个区域内种出来的红薯基本一致，然后这就给我们能在全国线上销售奠定了一个很好的基础。共青团辽宁省阜新市彰武县委员会书记 谢菲菲：带动了我们阜新周边的地区很多农户都走上了致富的道路，梁洪涛他在电商销售方面特别擅长，所以今天也特意把他请来，想为我们的农户、新农人，为他们开阔一下思路。新型职业农民经理人 梁洪涛：现在我们就来到了彰武县电子商务公共服务中心，我右手边就是我们整个的一个多功能的展示区，里边包含了我们可以看见彰武的草炭沙泉米、大米，还有四粒红的花生米以及所有彰武农特产品的一系列一应大全。未来稳固我们平台电商的同时，拓展我们社区团购的一个供应链业务，把我们彰武的农产品从供应优势上体现出来。通过直播、通过社区团购、通过我们的平台卖向全国。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读农产品 | 销售模式克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：李雪莲 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTIOlu3pQfsHpk3z8TTTJ8U210416.shtml","['原标题：重庆依托“山水”资源做足“特色”文章 建设成渝现代高效特色农业带央广网北京4月16日消息（记者郭彦 王凯 陈鹏）据中央广播电视总台中国之声《新闻和报纸摘要》报道，产业兴旺是乡村振兴的重要基础，是解决农村一切问题的前提。重庆坚持质量兴农、品牌强农，依托“山水”资源，做好“特色”文章，加快发展现代山地特色高效农业。早上8点半，47岁的龙驹镇梧桐村村民张定美走进配料间，为家里养殖的芦花鸡配制“营养早餐”。记者：您这有多少只鸡？多少个这样的棚子？张定美：总共我去年建了20个棚子，第一步有2000只的规模。张定美说，2019年4月起，他首批养殖了500只芦花鸡，7个月后卖出，净赚2万元。为此，他主动递交了“脱贫申请书”。张定美：通过自己的劳动，我也创收了，然后我就自己写了个申请书，交到村里面了。龙驹镇曾是重庆市18个深度贫困乡镇之一，梧桐村更是贫中之贫。为带领村民找到适合本地发展的产业，实现脱贫致富，2018年，梧桐村积极引进鲁渝东西部扶贫产业协作项目—汶上芦花鸡生态养殖，并迅速成立了专业合作社。几年来，梧桐村建起了390亩花园式汶上芦花鸡生态养殖示范基地，创新推出消费扶贫、社会认养、区域联养、分户散养和托管代养“五养新模式”，让芦花鸡很快“飞”出大山，变成了梧桐村村民脱贫致富的“致富鸡”。2019年，梧桐村98户建卡贫困户全部实现脱贫。梧桐村村支书侯德梅：我们的芦花鸡是一个产业链，从种鸡、孵化、鸡蛋、鸡苗、成品鸡到试验点，我们都是有实体店铺的，在万州城区已经开了3家体验店。龙驹镇人大副主席汪金欢表示，未来五年，龙驹镇将全面实施乡村振兴，抓牢产业发展不放松。汪金欢：到2025年，我们新增的农业增加值要达到11个亿左右，要新培育二、三产业的市场主体达到500家左右。新希望播种在广袤田间，新动能孕育在美丽村落。一首清脆动听的乡村振兴新曲，正在巴渝大地上奏鸣、回荡。2018年以来，重庆“十百千”工程纵深推进，乡村振兴“6+5”试验示范带动和20个重点镇村建设成效显著。全市现代农业产业园面积达到750万亩，预计综合产值800亿元。农产品加工产值、乡村旅游综合收入、农产品网络零售额年均保持两位数增长。重庆市农委主任路伟表示，“十四五”期间，重庆将加快培育农民合作社、家庭农场等新型农业经营主体，创新股权合作机制和农业经营模式，完善利益联结机制，实现小农户和现代农业有机衔接。路伟：紧紧抓住成渝地区双城经济圈建设重大机遇，围绕农业农村现代化这个总目标，坚持大城市带大农村，依托“山水”资源，做好“特色”文章，大力促进小规模、多品种、高品质、好价钱的现代山地特色高效农业，协力共建成渝现代高效特色农业带。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读重庆克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：杨宁 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTIrP1Hrbq3TTNudyqn6VwE210416.shtml","['播放视频15日上午，公安部举办新闻发布会，通报全国公安机关全力维护国家安全和社会大局稳定工作的实效。粮食安全是国家安全的重要基础。公安部新闻发言人李国忠就打击制售假劣农资违法犯罪的有关问题，回答了记者的提问。公安部新闻发言人 李国忠：2020年以来，公安机关共侦破制售假劣农资犯罪案件1000余起，抓获犯罪嫌疑人1400余名，捣毁窝点500余个，打掉犯罪团伙200余个，涉案价值17.6亿元。今年，公安部将根据区域性、季节性制售假劣农资违法犯罪规律特点，不断提升线索发现能力和案件侦查水平。公安部新闻发言人 李国忠：目前，正值春种春管关键时期，农资产品进入生产销售旺季，往往也是制售假劣农资违法犯罪的多发高发期。在此，我们正告那些不法人员，害人害己必然接受法律的审判；我们也提醒广大农民朋友，购买农资化肥要擦亮眼，不能只图便宜不分辨，否则上当受骗白忙活一年。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读公安部 | 假劣农资克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：肖斐 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTI43FVTNzfMtcTjOsqtbre210416.shtml","['播放视频浙江宁波的早稻秧苗已陆续进入插种适龄期，各地掀起机插作业热潮。目前，宁波全市早稻插种面积达13.29万亩，已完成早稻播种任务的53.16%，整体进度快于去年。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读浙江宁波克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：肖斐 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
,"https://sannong.cctv.com/2021/04/16/ARTIZ15cqtd9dFEbqUHYF1gp210416.shtml","['播放视频15日，国务院为服务“六稳”“六保” 出台相关意见，涉及就业、养老、消费等多方面，一起看看哪些内容与你我相关。就业降门槛 取消一批准入类职业资格如果你在找工作，需要准入类职业资格，可能会轻松不少。意见明确：进一步梳理压减准入类职业资格数量，比如：乡村兽医等一批职业资格将被取消。还有部分准入类职业资格考试的工作年限要求也将合理降低或直接取消。 更多服务事项“跨省通办” “事难办，脸难看”的现象要根治。意见要求：实施证明事项清单管理制度，清单之外不得向企业和群众索要证明。确需提供证明的，应告知证明事项名称、用途、依据、索要单位、开具单位等信息；推动更多服务事项“跨省通办”。 简化办事流程不能忘了老年人，意见再次强调：坚持传统服务方式与智能化服务创新并行，切实解决老年人等特殊群体在运用智能技术方面遇到的突出困难。盘活闲置床位用于养老 允许网售处方药随着人口老龄化，养老机构会不会一床难求？意见明确：推进公办养老机构公建民营改革，引入社会资本和专业管理服务机构，盘活闲置床位资源，在满足失能、半失能特困人员集中供养基础上，向其他失能、失智、高龄老年人开放。 今后网上也能买到处方药了，意见明确：在确保电子处方来源真实可靠的前提下，允许网络销售除国家实行特殊管理药品以外的处方药。 鼓励二手车 民宿 巡回演出等消费更多领域的消费活力将进一步释放，意见明确：鼓励各地区适当放宽旅游民宿市场准入，推进实施旅游民宿行业标准。制定跨地区巡回演出审批程序指南，优化审批流程，为演出经营单位跨地区开展业务提供便利。 把出口商品转为内销将更方便，意见明确：推进内外贸产品“同线同标同质”，破除制约出口商品转内销的系统性障碍。 想买进口商品的消费者们也将有更多选择，意见明确：继续扩大跨境电商零售进口试点城市范围，调整扩大跨境电商零售进口商品清单。 还有一条是从严管理行政执法者，意见鼓励各地区依法依规建立柔性执法清单管理制度，对轻微违法行为，慎用少用行政强制措施，防止一关了之、以罚代管。返回三农首页分享到：央视影音客户端央视新闻客户端央视财经客户端熊猫频道客户端推荐阅读国务院 | 意见克里米亚8万多支郁金香竞相开放 花期持续..“涨声”不断 韩国23日起实行进口玉米“..农业农村部对一系列重大工程项目开展全面排..银保监会：强化关键领域供给 优化“三农”..四川、贵州、青海三省加大金融投入 服务乡..我要纠错编辑：杨宁 责任编辑：张福伟实时热点花盆种出俏苹果金鳟鱼的颜色之谜熏鼠出洞（下）大海的孩子戈壁滩上“挤”出的财富天蓝水清椿树村广告广告广告致富经广告田间示范秀广告中央电视台网站|关于CCTV.com|联系CCTV.com|人才招聘|网站声明|法律顾问|CCTV广告中心|帮助中心中央广播电视总台  央视网  版权所有违法和不良信息举报电话:010-88047123 京ICP证060535号  京公网安备 11000002000018号 京网文[2014]0383-083号网上传播视听节目许可证号 0102004  新出网证（京）字098号  中国互联网视听节目服务自律公约']",,,"三农","2021-04-24 18:39:31"
